"ano","codigo_municipio","nome_municipio","cor_raca_branca","cor_raca_preta","cor_raca_amarela","cor_raca_parda","cor_raca_indigena","cor_raca_ignorada","tipo_gravidez_unica","tipo_gravidez_dupla","tipo_gravidez_tripla_ou_mais","tipo_gravidez__ignorada","gestacao_menos_de_22_semanas","gestacao_22_a_27_semanas","gestacao_28_a_31_semanas","gestacao_32_a_36_semanas","gestacao_37_a_41_semanas","gestacao_42_semanas_ou_mais","gestacao_ignorada","peso_menos_500g","peso_500_a_999g","peso_1000_a_1499g","peso_1500_a_2499g","peso_2500_a_2999g","peso_3000_a_3999g","peso_4000g_ou_mais","peso_ignorado","anomalia_presente","anomalia_nao_presente","anomalia_ignorada","sexo_masculino","sexo_feminino","sexo_ignorado","tipo_de_parto_vaginal","tipo_de_parto_cesariano","tipo_de_parto_ignorado","idade_mae_menos_10_anos","idade_mae_10_a_14_anos","idade_mae_15_a_19_anos","idade_mae_20_a_24_anos","idade_mae_25_a_29_anos","idade_mae_30_a_34_anos","idade_mae_35_a_39_anos","idade_mae_40_a_44_anos","idade_mae_45_a_49_anos","idade_mae_50_a_54_anos","idade_mae_55_a_59_anos","idade_mae_60_a_64_anos","idade_mae_65_a_69_anos","idade_mae_ignorada","mae_sem_escolaridade","tempo_de_estudo_mae_1_a_3_anos","tempo_de_estudo_mae_4_a_7_anos","tempo_de_estudo_mae_8_a_11_anos","tempo_de_estudo_mae_mais_de_12_anos","tempo_de_estudo_mae_ignorado","estado_civil_mae_solteira","estado_civil_mae_casada","estado_civil_mae_viuva","estado_civil_mae_separada_judicialmente","estado_civil_mae_uniao_consensual","estado_civil_mae_ignorado"
"2016","110025",PRESIDENTE MEDICI,31,11,0,96,0,6,142,2,0,0,0,0,0,10,124,8,2,0,0,0,9,23,104,8,0,2,142,0,74,70,0,59,85,0,0,0,27,43,30,30,11,3,0,0,0,0,0,0,0,1,23,95,21,4,17,49,0,10,64,4
"2016","110026",RIO CRESPO,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
"2016","110028",ROLIM DE MOURA,341,27,1,817,5,26,1207,10,0,0,0,1,2,73,1111,30,0,1,0,2,51,281,832,50,0,5,1209,3,626,591,0,184,1033,0,0,6,249,421,299,169,57,16,0,0,0,0,0,0,3,29,384,609,179,13,275,475,1,10,451,5
"2016","110029",SANTA LUZIA D'OESTE,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"2016","110030",VILHENA,760,134,33,1212,90,1,2192,38,0,0,0,4,7,80,2111,26,2,5,3,4,125,492,1496,104,1,8,2221,1,1131,1099,0,446,1784,0,0,19,392,649,588,367,183,30,1,0,0,1,0,0,8,32,311,1343,524,12,1312,794,3,68,47,6
"2016","110032",SAO MIGUEL DO GUAPORE,83,22,0,208,0,2,313,2,0,0,0,0,1,9,295,7,3,1,0,1,10,66,224,13,0,1,313,1,170,145,0,43,272,0,0,2,48,109,84,51,17,4,0,0,0,0,0,0,0,5,47,225,38,0,110,125,0,4,71,5
"2016","110033",NOVA MAMORE,1,2,0,13,3,3,20,2,0,0,0,0,1,5,13,0,3,0,0,0,4,3,14,1,0,0,20,2,12,10,0,22,0,0,0,0,8,4,6,3,0,1,0,0,0,0,0,0,0,3,5,5,0,9,16,2,0,0,4,0
"2016","110034",ALVORADA D'OESTE,0,3,0,8,0,0,11,0,0,0,0,0,0,1,7,1,2,0,0,0,0,3,8,0,0,0,11,0,3,8,0,11,0,0,0,0,3,3,4,1,0,0,0,0,0,0,0,0,0,3,3,5,0,0,1,5,0,0,4,1
"2016","110037",ALTO ALEGRE DOS PARECIS,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
"2016","110040",ALTO PARAISO,3,0,0,3,0,1,7,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,6,0,0,0,7,0,5,2,0,7,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,4,2,0,0,1,0
"2016","110045",BURITIS,229,60,4,636,1,94,1015,8,0,1,0,0,3,72,816,34,99,4,0,0,31,214,731,44,0,8,1007,9,482,542,0,169,854,1,0,8,226,350,261,124,48,7,0,0,0,0,0,0,1,68,314,521,97,23,265,421,3,17,282,36
